method,n_components,variance_explained,accuracy,f1_macro,efficiency
80% variance,13,0.811620130723937,0.8333333333333334,0.8341307814992026,0.06410256410256411
85% variance,16,0.8614115093770279,0.8333333333333334,0.8341307814992026,0.052083333333333336
90% variance,19,0.9006238770174596,0.8666666666666667,0.8664160401002506,0.0456140350877193
95% variance,25,0.9508910097285341,0.8333333333333334,0.8341307814992026,0.03333333333333333
97% variance,29,0.9712383583619552,0.8333333333333334,0.8341307814992026,0.028735632183908046
99% variance,36,0.9912366008345576,0.8333333333333334,0.8341307814992026,0.02314814814814815
5 components,5,0.5633079288994577,0.7,0.699720315280956,0.13999999999999999
10 components,10,0.7471899032763001,0.8333333333333334,0.8341307814992026,0.08333333333333334
15 components,15,0.8453429061802837,0.8333333333333334,0.8341307814992026,0.05555555555555556
20 components,20,0.9105435601293448,0.9,0.9,0.045
25 components,25,0.9508910097285341,0.8333333333333334,0.8341307814992026,0.03333333333333333
30 components,30,0.9752964733272512,0.8333333333333334,0.8341307814992026,0.02777777777777778
